relation,gold_mean,gold_count
"spaceflight.rocket_status.rockets",12.5825,1
"theater.play.productions",12.5765,1
"organization.organization_committee.committee_of",12.5643,1
"law.legal_subject.legal_cases",12.5414,1
"architecture.building_complex_function.building_complexes",12.5404,1
"biology.genomic_locus.chromosome",12.5367,23
"broadcast.radio_format.stations",12.5366,2
"geography.river.basin_countries",12.5315,2
"internet.website_owner.websites_owned",12.5232,3
"food.recipe_author.recipes",12.5198,3
"medicine.drug_brand.active_ingredients",12.5038,1
"business.company_advisor.companies_advised",12.5025,1
"cricket.cricket_match.field_umpires",12.4868,1
"business.brand_slogan.brand",12.4750,1
"boats.ship_type.ship_class",12.4716,1
"olympics.olympic_host_city.olympics_hosted",12.4572,1
"computer.file_format.mime_type",12.4504,2
"royalty.royal_line.kingdom_s_ruled",12.4497,1
"book.book.first_edition",12.4340,2
"music.concert.concert_tour",12.4337,1
"travel.tour_operator.travel_destinations",12.4027,1
"book.scholarly_work.works_cited",12.3932,1
"digicams.digital_camera.iso_setting",12.3930,1
"medicine.drug_administration_route.drug_formulations",12.3871,1
"food.dietary_restriction.incompatible_ingredients",12.3829,1
"music.musician_profession.instrument",12.3817,1
"architecture.tower_shape.lighthouse_has_shape",12.3764,2
"opera.opera.librettist",12.3756,1
"royalty.chivalric_rank.gender",12.3453,1
"medicine.contraindication.contraindication_for",12.3416,11
"computer.computer_processor.variants",12.3168,17
"fictional_universe.type_of_fictional_setting.settings",12.3009,1
"wine.appellation.wines",12.2986,1
"book.short_story.characters",12.2971,1
"religion.religious_leadership_role.religion",12.2912,1
"travel.hotel_brand_owner.hotel_brands_owned",12.2844,1
"astronomy.star_system.constellation",12.2769,1
"medicine.drug_formulation_category.drug_formulations",12.2731,1
"travel.accommodation_feature.accommodation_with_this_feature",12.2700,2
"geography.mountain_listing.mountains",12.2691,1
"distilled_spirits.blended_spirit_style.blends",12.2333,2
"digicams.camera_uncompressed_format.cameras",12.2274,16
"architecture.lighthouse.focal_height_of_light",12.2272,3
"education.school_category.schools_of_this_kind",12.2116,16
"spaceflight.satellite_manufacturer.spacecraft_manufactured",12.2039,1
"spaceflight.satellite.launch_site",12.2035,1
"law.legal_case.subject",12.1931,1
"computer.computer_peripheral.supporting_game_versions",12.1865,1
"opera.opera_production.designers",12.1858,1
"astronomy.asteroid_spectral_type.asteroids_of_this_type",12.1853,1
"book.author.school_or_movement",12.1789,1
"measurement_unit.measuring_instrument.subclass_of",12.1731,8
"internet.top_level_domain_registry.domains",12.1567,23
"opera.opera_genre.operas_in_this_genre",12.1438,1
"biology.gene.locus",12.1436,1
"tv.tv_series_episode.subjects",12.1391,1
"ice_hockey.hockey_team.captain",12.1351,1
"computer.software_genre.subgenres",12.1273,1
"fictional_universe.fictional_setting.contained_by",12.1242,1
"book.book.editions",12.1103,1
"government.general_election.part_of_general_election",12.1090,2
"computer.file_format.container_for",12.0943,2
"ice_hockey.hockey_position.players",12.0903,2
"broadcast.tv_channel.language",12.0816,2
"amusement_parks.park.areas",12.0736,1
"amusement_parks.ride_theme.rides",12.0715,1
"biology.chromosome.gene",12.0678,2
"sports.sports_facility.teams",12.0418,1
"automotive.automotive_class.examples",12.0379,3
"religion.religion.branched_from",12.0304,2
"exhibitions.exhibition.produced_by",12.0237,2
"travel.hotel.grade",12.0224,1
"base.lightweight.beer_hop.hops_similar",12.0152,5
"geography.geographical_feature_category.subcategories",12.0001,2
"astronomy.star.mass_m",11.9999,1
"architecture.landscape_project.landscape_architect",11.9941,1
"music.album_content_type.albums",11.9789,15
"language.language_dialect.language",11.9718,2
"opera.librettist.libretti",11.9679,2
"architecture.structure.topped_out",11.9560,1
"computer.html_layout_engine.browsers",11.9314,1
"exhibitions.exhibition.subjects",11.9200,1
"olympics.olympic_games.mascot",11.9145,2
"government.government_issued_permit.issuing_service",11.9092,1
"engineering.channel_access_method.child_method",11.8825,4
"comic_books.comic_book_series.first_issue",11.8801,1
"business.customer.supplier",11.8776,1
"tv.tv_segment_personal_appearance.segment",11.8734,1
"medicine.drug_administration_route.administered_drugs",11.8669,1
"olympics.olympic_demonstration_medal_honor.country",11.8501,1
"computer.computer_peripheral_class.supporting_games",11.8471,1
"food.recipe_collection.recipes",11.8286,3
"opera.opera.productions",11.8006,1
"law.court.legal_cases",11.7832,2
"astronomy.galaxy.interaction",11.7393,2
"law.judge.cases",11.7368,1
"law.inventor.inventions",11.7233,2
"astronomy.orbit_type.orbiting_bodies",11.7117,1
"internet.blog.language",11.7114,2
"media_common.literary_genre.books_in_this_genre",11.7063,2
"medicine.medical_trial.treatment_being_tested",11.7032,23
"visual_art.artwork.edition_of",11.6932,2
"distilled_spirits.distilled_spirit_type.blends",11.6923,1
"automotive.model.automotive_class",11.6859,2
"music.featured_artist.albums",11.6620,1
"book.magazine.issues",11.6470,1
"government.political_ideology.political_parties",11.6403,1
"travel.guidebook.travel_destinations_covered",11.6178,1
"conferences.conference_subject.specific_conferences_about_this",11.6146,18
"book.author.contributing_author_to",11.6143,5
"food.beer_style_category.styles",11.6122,1
"tv.tv_writer.tv_segments_written",11.5975,1
"organization.organization_founder.organizations_founded",11.5896,1
"medicine.drug_formulation.formulation_of",11.5838,1
"digicams.digital_camera.supported_storage_types",11.5741,1
"visual_art.artwork_owner_relationship.purchase_currency",11.5711,1
"comic_books.comic_book_genre.comic_book_series_in_this_genre",11.5649,1
"digicams.camera_storage_type.compatible_cameras",11.5617,1
"business.product_line.parent_product_line",11.5550,1
"people.family.country",11.5226,1
"conferences.conference_subject.series_of_conferences_about_this",11.5028,16
"martial_arts.martial_arts_organization.martial_arts",11.5000,2
"media_common.adaptation.adapted_from",11.4879,16
"religion.religion.branched_into",11.4844,1
"government.us_vice_president.to_president",11.4740,1
"spaceflight.rocket_engine_fuel.rocket_engines",11.4559,3
"wine.vineyard.wines",11.4546,2
"aviation.aircraft_type.aircraft_of_this_type",11.4543,2
"music.instrument.instrumentalists",11.4531,2
"book.magazine_issue.cover_artist",11.4440,1
"boxing.boxing_decision.matches_ended_with_this_decision",11.4124,1
"education.school.school_district",11.4096,2
"aviation.aircraft_model.parent_aircraft_model",11.3962,1
"people.profession.specialization_of",11.3858,2
"time.calendar.months",11.3583,2
"astronomy.asterism.stars",11.3307,1
"spaceflight.rocket_manufacturer.rockets_manufactured",11.3274,2
"spaceflight.rocket_function.rockets_supporting_this_function",11.3088,2
"education.field_of_study.academic_departments",11.2913,1
"conferences.conference_series.conference",11.2808,17
"biology.organism.children",11.2755,2
"government.polling_authority.polls",11.2607,3
"rail.locomotive_class.parent_class",11.2370,16
"amusement_parks.ride.theme",11.2298,1
"sports.defunct_sports_team.later_known_as",11.2231,2
"tv.tv_character.appeared_in_tv_episodes",11.2132,1
"law.constitutional_amendment_proposer.constitutional_amendments_proposed",11.1847,2
"meteorology.beaufort_wind_force.tropical_cyclone_categories",11.1540,4
"government.government_office_or_title.governmental_body_if_any",11.1539,2
"spaceflight.rocket_launch_site.rockets_launched_here",11.1529,1
"astronomy.galactic_interaction.when",11.1507,1
"medicine.medical_trial_design.trials",11.1340,28
"engineering.material.subclass",11.1201,1
"architecture.lighthouse.light_color_range",11.1177,1
"architecture.museum_director.museum",11.1149,2
"food.cheese.texture",11.1125,1
"spaceflight.rocket.manufacturer",11.0993,2
"book.book_edition.interior_illustrations_by",11.0970,1
"astronomy.telescope_type.higher_classification",11.0948,1
"government.government_issued_permit.application_channel",11.0836,1
"spaceflight.space_mission.space_program",11.0737,1
"engineering.channel_access_method.parent_method",11.0684,2
"astronomy.comet.meteor_shower_spawned",11.0572,3
"automotive.model.similar",11.0329,1
"computer.computer.key_designers",11.0290,1
"conferences.conference_series.sponsoring_organization",11.0116,34
"automotive.generation.make",10.9943,2
"medicine.drug_ingredient.active_moiety_of_formulation",10.9876,1
"language.language_family.member_of_language_families",10.9834,2
"library.public_library_system.central_library",10.9533,2
"automotive.generation.manufacturing_plant",10.9529,1
"book.publishing_company.books_published",10.9458,1
"engineering.engine.category",10.9405,2
"religion.religious_organization.associated_with",10.9400,1
"government.election.office",10.9098,1
"visual_art.artwork.art_genre",10.8823,1
"amusement_parks.roller_coaster.track_length",10.8773,1
"medicine.drug_brand.manufacturer",10.8742,1
"medicine.medical_trial.design",10.8699,26
"rail.railway.terminuses",10.8686,16
"music.genre.recordings",10.8580,1
"fictional_universe.fictional_creature.attributes_powers_or_abilities",10.8389,1
"spaceflight.space_agency.spaceports",10.8142,1
"biology.fossil_site.specimens_found_here",10.7900,2
"travel.transportation.mode_of_transportation",10.7781,1
"aviation.aircraft_ownership_count.number_owned",10.7669,1
"celebrities.supercouple.partners",10.7378,1
"cvg.computer_game_engine.predecessor_engine",10.7231,19
"language.language_writing_type.writing_systems",10.7195,1
"astronomy.asteroid.member_of_asteroid_family",10.7172,5
"engineering.material.parent_material_class",10.7140,2
"education.school_mascot.school",10.7124,1
"cricket.cricket_bowler.bowling_style",10.6986,1
"time.event.included_in_event",10.6983,1
"religion.religion.is_part_of",10.6716,3
"food.beer.country",10.6612,1
"people.chinese_ethnic_group.autonomous_counties",10.6499,2
"people.professional_field.professions_in_this_field",10.6229,3
"people.ethnicity.includes_groups",10.6179,1
"sports.tournament_event_competitor.country",10.6042,1
"cvg.computer_game_engine.successor_engine",10.5921,20
"computer.processor_manufacturer.processors_manufactured",10.5755,1
"business.product_line.predecessor_product_line",10.5754,1
"transportation.road.major_cities",10.5672,1
"architecture.architect.structure_count",10.5404,2
"base.lightweight.beer_hop.beer_styles_used_in",10.5046,8
"computer.operating_system.supported_architectures",10.4988,1
"amusement_parks.park.rides",10.4880,1
"astronomy.asterism.constellations",10.4839,1
"people.profession.part_of_professional_field",10.4789,1
"religion.religious_text.religious_text_of",10.4755,2
"biology.gene_ontology_group.narrower_group",10.4753,1
"business.business_location.parent_company",10.4725,1
"computer.programming_language_developer.programming_languages_developed",10.4179,1
"astronomy.extraterrestrial_location.contains",10.4163,1
"travel.hotel.drinking_establishments",10.3912,1
"internet.top_level_domain_sponsor.domains",10.3850,1
"computer.computer_processor.used_in_computers",10.3834,2
"biology.genomic_locus.band",10.3812,1
"martial_arts.martial_artist.martial_arts_students",10.3792,3
"tv.tv_episode_segment.subjects",10.3655,1
"sports.sports_award_type.winners",10.3586,1
"people.chinese_ethnic_group.autonomous_prefectures",10.3333,1
"olympics.olympic_athlete.country",10.3307,1
"automotive.fuel.engines",10.3280,1
"broadcast.distributor.distributes",10.3139,1
"fictional_universe.person_in_fiction.representations_in_fiction",10.2859,1
"measurement_unit.measuring_instrument.subclasses",10.2823,7
"medicine.drug.routed_drugs",10.2489,2
"fictional_universe.fictional_creature.featured_in_fictional_universe",10.2445,2
"music.release.producers",10.2396,1
"law.constitutional_amendment.proposed_by",10.2396,2
"sports.sports_team_location.teams",10.2377,2
"astronomy.galaxy.galaxy_classification_hubble",10.2348,1
"automotive.make.parent_company",10.2335,1
"biology.genome_curator.build",10.2320,2
"comic_books.comic_book_colorist.comic_stories_colored",10.2175,1
"sports.golf_course.facility",10.2020,3
"broadcast.podcast_feed.media_format",10.1764,3
"book.short_story.genre",10.1695,1
"music.composition.language",10.1672,2
"media_common.adapted_work.adaptations",10.1598,18
"government.political_party.country",10.1091,1
"tv.tv_program_creator.programs_created",10.1009,1
"book.book_edition_series.sub_series",10.0947,2
"fictional_universe.fictional_organization.sub_organization_in_fiction",10.0666,2
"broadcast.genre.content",10.0440,4
"education.academic.advisors",10.0350,1
"theater.theatrical_lyricist.play_lyrics_written",10.0177,2
"internet.website.status",10.0081,1
"religion.adherents.religion",9.9919,1
"food.cheese.country_of_origin",9.9897,2
"music.performance_venue.concerts",9.9801,3
"music.genre.parent_genre",9.9652,2
"fictional_universe.fictional_organization_founder.fictional_organizations_founded",9.9606,2
"interests.collection_category.items_in_this_category",9.9515,21
"food.ingredient.more_specific_ingredient",9.9430,4
"architecture.type_of_museum.museums",9.9279,3
"automotive.platform.generations",9.9095,3
"religion.deity.deity_of",9.9095,2
"music.genre.albums",9.9046,2
"dining.cuisine.ingredients",9.8982,3
"medicine.manufactured_drug_form.patents",9.8960,2
"tv.tv_character.first_tv_appearance",9.8757,2
"architecture.museum.type_of_museum",9.8673,1
"comic_books.comic_book_series.final_issue",9.8628,2
"government.political_district.elections",9.8462,1
"people.family_name.people_with_this_family_name",9.8434,2
"comic_books.comic_book_issue.next_issue",9.8313,1
"book.magazine_issue.interior_illustrations_by",9.8141,1
"medicine.medical_trial_type.medical_trials",9.8050,1
"music.voice.singers",9.8040,1
"astronomy.celestial_object_category.subcategories",9.7995,1
"computer.software_genre.software_in_genre",9.7901,3
"fictional_universe.fictional_character_creator.fictional_characters_created",9.7864,1
"base.lightweight.profession.specialization_of",9.7853,1
"automotive.model_year.generation",9.7798,1
"theater.theater_production.translation_used",9.7658,1
"organization.organization.partnerships",9.7612,1
"ice_hockey.hockey_division.teams",9.7604,1
"martial_arts.martial_art.well_known_practitioner",9.7405,2
"fictional_universe.fictional_creature.fictional_creature_species",9.7385,1
"base.lightweight.profession.similar_professions",9.7066,1
"computer.programming_language_designer.languages_designed",9.7039,4
"cricket.cricket_series.team_two",9.6816,1
"government.governmental_body.members",9.6790,2
"book.scholarly_work.acknowledged_people",9.6672,1
"medicine.medical_trial.expected_total_enrollment",9.6498,26
"computer.file_format.read_by",9.6481,1
"aviation.airliner_accident.crew",9.6366,2
"media_common.quotation.incorrectly_attributed_to",9.6245,1
"interests.interest.people_with_this_interest",9.5973,1
"astronomy.astronomical_discovery.discovery_date",9.5956,1
"architecture.lighthouse_construction_material.used_on_lighthouse",9.5662,1
"sports.sport.leagues",9.5635,1
"fictional_universe.fictional_universe.organizations",9.5472,1
"religion.religion.texts",9.5291,17
"conferences.conference.venue",9.5285,12
"medicine.vector_of_disease.disease",9.5166,1
"spaceflight.rocket.mass",9.5121,1
"spaceflight.rocket.satellites_launched",9.5002,1
"travel.hotel.restaurants_in_hotel",9.4968,2
"computer.operating_system.developer",9.4967,2
"sports.tournament_event.sport",9.4940,1
"business.business_location.in_shopping_center",9.4933,2
"book.poem_character.appears_in_poems",9.4779,3
"broadcast.content.language",9.4546,1
"music.artist.track",9.4404,2
"boats.ship_designer.boats_designed",9.4329,18
"medicine.disease.affiliated_diseases",9.4236,1
"education.dissertation.degree",9.4169,1
"automotive.privately_owned_vehicle.milage",9.4009,1
"medicine.symptom.symptom_of",9.3888,1
"aviation.airliner_accident.date",9.3767,1
"religion.founding_figure.religion_founded",9.3738,1
"radio.radio_episode_segment.episode",9.3418,6
"olympics.olympic_event.contested_as_demonstration_event",9.3330,1
"book.book_edition_series.editions_in_this_series",9.3248,4
"medicine.drug_ingredient.active_ingredient_of_formulation",9.3223,16
"aviation.airliner_accident.flight_destination",9.2786,3
"skiing.run_rating_symbol.run_rating",9.2757,1
"religion.religion.holidays",9.2751,16
"sports.sport.positions",9.2642,2
"fictional_universe.work_of_fiction.events",9.2508,1
"tv.tv_program.genre",9.2377,1
"tennis.tennis_player.matches_won",9.2359,1
"visual_art.visual_artist.artworks",9.1989,1
"rail.locomotive.locomotive_class",9.1822,13
"medicine.symptom.side_effect_of",9.1740,1
"internet.website_status.sites",9.1679,1
"book.book_edition_series.part_of_series",9.1664,1
"rail.railway.part_of_network",9.1606,6
"tv.tv_program.country_of_origin",9.1472,1
"music.compositional_form.compositions",9.1152,1
"tv.tv_subject.tv_programs",9.0791,1
"zoos.zoo.memberships",9.0489,1
"cvg.computer_game_distribution_system.payment_system",9.0158,7
"time.holiday.related_event",8.9877,1
"projects.project.includes_smaller_projects",8.9554,2
"medicine.icd_9_cm_classification.parent_classification",8.9438,1
"cvg.computer_game_engine_family.engines_in_this_family",8.9198,21
"exhibitions.exhibition_producer.exhibitions_produced",8.9049,18
"rail.electric_system.locomotive_class",8.8980,6
"martial_arts.martial_art_category.martial_arts",8.8766,1
"fictional_universe.event_in_fiction.included_by_these_events",8.8520,1
"music.music_video_director.music_videos_directed",8.8326,2
"skiing.run_rating.ski_runs",8.8259,1
"religion.religion.types_of_places_of_worship",8.8166,16
"computer.computer.includes_models",8.8133,3
"architecture.architectural_style.architects",8.8114,2
"comic_books.comic_book_genre.stories_in_this_genre",8.7787,4
"people.profession.corresponding_type",8.6832,4
"computer.computing_platform.file_formats_supported",8.6808,17
"biology.pedigreed_animal.breed",8.6738,4
"computer.operating_system.includes_os_versions",8.6561,2
"aviation.aircraft_model.part_of_line",8.6504,3
"astronomy.constellation.contains",8.6442,11
"conferences.conference_series.subject",8.6140,17
"rail.steam_locomotive_wheel_configuration.locomotive_classes",8.5898,22
"amusement_parks.ride.includes_film",8.5885,1
"interests.collection_category.parent_category",8.5606,5
"astronomy.celestial_object.hipparcos_catalog_number",8.5511,1
"dining.restaurant.cuisine",8.5288,3
"ice_hockey.hockey_team.division",8.5115,1
"martial_arts.martial_art.category",8.4777,1
"music.compositional_form.superforms",8.4629,1
"fictional_universe.fictional_character.occupation",8.4297,1
"base.lightweight.beer_hop.similar_hops",8.4160,1
"ice_hockey.hockey_conference.teams",8.4071,1
"fictional_universe.fictional_object.location",8.3905,4
"book.book_edition.book_edition_series",8.3803,2
"olympics.olympic_venue.olympic_games_used_in",8.3750,1
"measurement_unit.unit_of_conductivity.measurement_system",8.3510,4
"biology.organism_classification.fossil_specimens",8.3158,1
"tv.tv_program.multipart_episodes",8.3149,1
"rail.rail_gauge.locomotive_classes",8.2918,6
"fictional_universe.work_of_fiction.part_of_these_fictional_universes",8.2678,1
"measurement_unit.measurement_system.thermal_conductivity_units",8.2675,6
"computer.file_format.written_by",8.2673,1
"fictional_universe.fictional_setting.languages",8.2609,3
"comic_strips.comic_strip.characters",8.2419,1
"dining.cuisine.dishes",8.2409,1
"fictional_universe.character_gender.characters_of_this_gender",8.2387,2
"computer.computer_designer.computers_designed",8.2297,3
"comic_books.comic_book_series.continued_by",8.2034,1
"comic_books.comic_book_character.cover_appearances",8.1857,3
"biology.breed_temperament.breeds",8.1803,18
"book.translation.translation_of",8.1320,1
"conferences.type_of_conference.conferences_of_this_type",8.1307,46
"aviation.airline.number_of_destinations",8.0887,1
"music.composer.compositions",8.0854,1
"fictional_universe.fictional_substance.color",8.0652,1
"medicine.hospital.medical_school_affiliation",8.0612,1
"measurement_unit.measurement_system.electric_field_strength_units",8.0419,5
"sports.professional_sports_team.owner_s",8.0328,3
"book.written_work.school_or_movement",8.0262,2
"music.album.compositions",8.0154,1
"symbols.coat_of_arms.crest",7.9853,6
"aviation.aircraft.date_manufactured",7.9671,1
"measurement_unit.pressure_unit.measurement_system",7.9614,12
"geology.geological_formation.formed_during_period",7.9401,1
"aviation.airline.focus_cities",7.9371,1
"conferences.conference_venue.conferences",7.9261,44
"geography.mountain.mountain_type",7.9206,16
"religion.belief.belief_of",7.9199,16
"measurement_unit.energy_unit.measurement_system",7.8965,7
"base.lightweight.profession.professions_similar",7.8860,1
"wine.wine.country",7.8854,1
"medicine.medical_treatment.used_to_treat",7.8811,1
"tv.tv_program.subjects",7.8781,2
"education.school_magazine.school",7.8740,1
"measurement_unit.measuring_instrument.dimension_measured",7.8495,7
"measurement_unit.luminance_unit.measurement_system",7.8422,6
"people.person.gender",7.8365,1
"cvg.computer_videogame.influenced",7.7881,16
"food.dish.cuisine",7.7810,1
"tv.tv_program.recurring_segments",7.7572,1
"tv.tv_series_season.regular_cast",7.7277,1
"comic_books.comic_book_creator.characters_created",7.7183,2
"fictional_universe.fictional_organization.members",7.6856,1
"medicine.medical_trial.references",7.6757,1
"visual_art.visual_artist.art_series",7.6342,1
"measurement_unit.measurement_system.length_units",7.6286,45
"theater.play.characters",7.6109,1
"cvg.cvg_publisher.game_versions_published",7.6074,16
"computer.programming_language.dialects",7.6044,1
"computer.computer.parent_model",7.5838,1
"measurement_unit.speed_unit.measurement_system",7.5615,6
"measurement_unit.measurement_system.surface_density_units",7.5589,12
"measurement_unit.measurement_system.conductance_units",7.5449,5
"book.illustrator.book_edition_covers",7.5380,1
"media_common.quotation_subject.quotations_about_this_subject",7.5243,19
"measurement_unit.measurement_system.molar_energy_units",7.5243,6
"sports.sports_team_owner.teams_owned",7.5229,3
"measurement_unit.time_unit.measurement_system",7.5104,5
"measurement_unit.temperature_unit.measurement_system",7.5092,6
"comic_books.comic_book_story.genre",7.4985,2
"astronomy.meteorite.meteorite_mass",7.4854,18
"soccer.football_league_season.teams",7.4786,1
"comic_books.comic_book_editor.issues_edited",7.4702,1
"medicine.medical_trial.contact",7.4524,1
"measurement_unit.measurement_system.angular_acceleration_units",7.4417,5
"language.language_writing_system.type_of_writing",7.4330,2
"book.book_edition.reader",7.4289,1
"music.recording.releases",7.4163,3
"measurement_unit.molar_heat_capacity_unit.measurement_system",7.4019,8
"medicine.hospital.medical_specialties",7.3962,1
"law.us_patent.associated_inventions",7.3798,1
"amusement_parks.ride.capacity",7.3709,7
"people.ethnicity.languages_spoken",7.3295,16
"digicams.camera_compressed_format.cameras",7.3159,9
"education.department.field",7.3104,1
"computer.software_developer.software",7.3044,2
"measurement_unit.measurement_system.illuminance_units",7.2935,10
"measurement_unit.viscosity_unit.measurement_system",7.2863,4
"fictional_universe.fictional_object.created_by",7.2830,1
"book.book_subject.musical_compositions_about_this_topic",7.2611,3
"measurement_unit.measurement_system.volumetric_heat_capacity_units",7.2435,11
"measurement_unit.measurement_system.acceleration_units",7.2383,7
"measurement_unit.mass_unit.measurement_system",7.1934,12
"computer.programming_language.influenced_by",7.1819,1
"astronomy.astronomer.astronomical_objects_discovered",7.1719,2
"religion.religion.places_of_worship",7.1623,2
"cvg.cvg_platform.platform_family",7.1621,6
"meteorology.meteorological_service.forecast_zones",7.1449,2
"government.governmental_jurisdiction.agencies",7.1240,1
"medicine.drug_manufacturer.drugs_manufactured",7.0822,2
"business.product_line.themes",7.0773,1
"aviation.airline.fleet_size",7.0601,1
"biology.animal_breed.temperament",7.0571,16
"food.culinary_tool.used_in_recipes",7.0144,1
"conferences.conference.proceedings",6.9976,7
"cvg.computer_videogame.prequel",6.9776,16
"comic_books.comic_book_inker.comic_covers_inked",6.9681,1
"fictional_universe.character_species.characters_of_this_species",6.9589,3
"internet.website.parent_web_property",6.9582,18
"comic_books.comic_book_fictional_universe.characters_primarily_appearing_in_this_universe",6.9487,1
"fictional_universe.fictional_object.featured_in_fictional_universe",6.9367,1
"cvg.computer_game_rating.rating_system",6.8998,24
"comic_books.comic_book_series.featured_characters",6.8931,1
"aviation.airline.alliance",6.8822,1
"meteorology.tropical_cyclone_category.tropical_cyclones",6.8576,3
"book.review.work_reviewed",6.8541,1
"measurement_unit.conductance_unit.measurement_system",6.8507,5
"sports.sports_team.member_of",6.8449,3
"digicams.camera_iso.cameras",6.8325,1
"measurement_unit.measurement_system.luminance_units",6.8297,5
"aviation.aircraft_model.designed_by",6.7240,2
"measurement_unit.angular_velocity_unit.measurement_system",6.7134,6
"music.music_video_character.portrayed_in_music_videos",6.7017,1
"computer.computer.processor",6.6820,1
